method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
DeepOrder,S2SD32.21-85-3-2-1,industry_dataset,15,38,0.7666666666666667,0.0
DeepOrder,S3RO32.16,industry_dataset,15,20,0.7000000000000001,0.0
DeepOrder,S3RW32.138-29-5,industry_dataset,110,120,0.04090909090909092,0.0
DeepOrder,S3RYA32.16,industry_dataset,10,24,0.7000000000000001,0.0
DeepOrder,S3RYA32.35,industry_dataset,5,105,0.29999999999999993,0.0
DeepOrder,S3RYA32.49-7,industry_dataset,12,3,0.6249999999999999,0.0
DeepOrder,S3RYA32.49-8,industry_dataset,12,4,0.8333333333333333,0.0
DeepOrder,S3SG32.39-90-1,industry_dataset,40,365,0.21249999999999997,0.0
DeepOrder,T1RD33.116-13,industry_dataset,40,2,0.6625,0.0
DeepOrder,T1RD33.116-15,industry_dataset,12,5,0.041666666666666664,0.0
DeepOrder,T1RG33.135-109-1,industry_dataset,25,4,0.98,0.0
DeepOrder,T1RG33.135-56,industry_dataset,18,6,0.4722222222222222,0.0
DeepOrder,T1RG33.135-89,industry_dataset,12,1,0.6249999999999999,0.0
DeepOrder,T1RM33.1-110-4,industry_dataset,19,35,0.9210526315789473,0.0
DeepOrder,T1RM33.1-54,industry_dataset,27,60,0.9444444444444444,0.0
DeepOrder,T1RM33.1-89,industry_dataset,25,1,0.98,0.0
DeepOrder,T1RM33.1-92,industry_dataset,10,1,0.75,0.0
DeepOrder,T1SJC33.51-6,industry_dataset,8,4,0.6875,0.0
DeepOrder,T1SQ33.15-11-77,industry_dataset,26,4,0.9807692307692308,0.0
DeepOrder,T1SQ33.15-11-80,industry_dataset,10,4,0.75,0.0
DeepOrder,T1SQ33.15-11-85,industry_dataset,47,3,0.9148936170212766,0.0
DeepOrder,T1SSM33.1-100,industry_dataset,2,1,0.75,0.0
DeepOrder,T1SSM33.1-49,industry_dataset,7,5,0.9285714285714286,0.0
DeepOrder,T1SU33.1-124-4,industry_dataset,25,4,0.26,0.0
DeepOrder,T1TGN33.60-23,industry_dataset,1,2,1.0,0.0
DeepOrder,T1TH33.75-12-6,industry_dataset,10,12,0.35000000000000003,0.0
DeepOrder,T1TH33.75-2,industry_dataset,42,5,0.4047619047619048,0.0
DeepOrder,T1TH33.75-3,industry_dataset,6,15,0.9166666666666667,0.0
DeepOrder,T1TR33.4-30-75,industry_dataset,15,1,0.5666666666666667,0.0
DeepOrder,T1TR33.43-20-24,industry_dataset,4,26,0.375,0.0
DeepOrder,T1TR33.43-40,industry_dataset,50,41,0.9233333333333333,0.0
