build_id,apfd,n_tc
S2SD32.21-85-3-2-1,0.8333333333333334,15
S3RO32.16,0.6777777777777777,15
S3RW32.138-29-5,0.6954545454545454,110
S3RYA32.16,0.49999999999999994,10
S3RYA32.35,0.29999999999999993,5
S3RYA32.49-7,0.5416666666666666,12
S3RYA32.49-8,0.8333333333333333,12
S3SG32.39-90-1,0.11249999999999998,40
T1RD33.116-13,0.6124999999999999,40
T1RD33.116-15,0.37500000000000006,12
T1RG33.135-109-1,0.9400000000000001,25
T1RG33.135-56,0.8333333333333334,18
T1RG33.135-89,0.12500000000000003,12
T1RM33.1-110-4,0.8684210526315789,19
T1RM33.1-54,0.9814814814814815,27
T1RM33.1-89,0.98,25
T1RM33.1-92,0.75,10
T1SJC33.51-6,0.6875,8
T1SQ33.15-11-77,0.9807692307692308,26
T1SQ33.15-11-80,0.9500000000000001,10
T1SQ33.15-11-85,0.8936170212765957,47
T1SSM33.1-100,0.75,2
T1SSM33.1-49,0.9285714285714286,7
T1SU33.1-124-4,0.13999999999999999,25
T1TGN33.60-23,1.0,1
T1TH33.75-12-6,0.14999999999999997,10
T1TH33.75-2,0.6904761904761905,42
T1TH33.75-3,0.9166666666666667,6
T1TR33.4-30-75,0.6333333333333333,15
T1TR33.43-20-24,0.375,4
T1TR33.43-40,0.8766666666666667,50
T1TZ33.3-50,0.15625,16
T1TZ33.3-52,0.47101449275362317,23
T1TZ33.3-60,1.0,1
T1TZ33.3-62-29,0.90625,16
T2RK33.71,0.42500000000000004,20
T2SA33.9,0.08333333333333333,6
T2SD33.21,0.7222222222222223,9
T2SD33.26,0.6510416666666667,32
T2SD33.27,0.13414634146341464,41
T2SE33.73-8,1.0,1
T2SR33.35,0.9583333333333333,12
T2SR33.54,0.4166666666666667,6
T2ST33.105-15,0.9222222222222222,45
T2ST33.92,0.6250000000000001,28
T2SV33.40,0.21875,16
T2SV33.42,0.5416666666666666,12
T2TT33.60-3,0.9579831932773109,119
T2TT33.60-5,0.9444444444444444,9
T2TT33.60-7,0.9583333333333333,12
T2TV33.10,0.8698630136986302,73
T2TV33.11,0.7500000000000001,26
T2TV33.12,0.6428571428571428,70
T2TV33.13,0.6477272727272728,88
T2TV33.14,0.6994949494949495,66
T2TV33.31,0.4826388888888889,48
T2TV33.32,0.8333333333333334,9
T2TV33.33,0.25,16
T2TV33.34,0.7222222222222222,27
T2TV33.35,0.8333333333333334,3
T2TV33.45-10-20,0.9285714285714286,21
T2TV33.45-10-4,0.9,10
T2TV33.45-10-5,0.75,4
T2TV33.45-110,0.9375,8
T2TV33.45-31,0.5666666666666667,15
T2TV33.45-5,0.038461538461538464,13
T2TV33.45-74,0.875,4
T2TV33.45-8,0.7301886792452831,53
T2TV33.45-9,0.7339743589743589,52
T2TV33.7,0.625,8
T2TV33.8,0.7500000000000001,6
T2TZ33.10,0.8693548387096774,62
T2TZ33.18-16-17,0.75,2
T2TZ33.18-59,0.8846153846153846,13
T3SG33.102,0.13157894736842105,19
T3SG33.92,0.875,12
T3SL33.16,0.9596774193548387,62
T3SL33.16-11,0.6555555555555556,15
T3SL33.16-9,0.80625,80
T3SL33.5,0.9807692307692308,26
T3SL33.8,0.4444444444444444,9
T3TB33.2-24,0.875,4
T3TB33.2-5,0.676470588235294,17
T3TC33.10,0.4375,8
T3TD33.10,1.0,1
T3TDC33.16-12,0.5217391304347826,23
T3TDC33.16-14,0.9615384615384616,13
T3TDC33.3,0.75,2
T3TF33.11,0.6428571428571429,21
T3TF33.13,0.9318181818181818,22
T3TF33.14,0.6249999999999999,12
T3TF33.19,0.6,5
T3TF33.36,0.9,5
T3TF33.66-56,0.96875,16
T3TM33.23-10,0.975,20
T3TM33.7,0.7500000000000001,6
T3TP33.2,0.5,5
TSH33.179,0.7777777777777778,27
TTC33.18,0.6595744680851063,47
TTC33.19,0.3666666666666667,15
