method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
edge_ablation_cofailure_only,S2RK32.92-52,v8_full_test,49,8,0.9744897959183673,0.0
edge_ablation_cofailure_only,S3RV32.127,v8_full_test,2,4,0.5,0.0
edge_ablation_cofailure_only,S3SL32.16-72-8,v8_full_test,5,10,0.7000000000000001,0.0
edge_ablation_cofailure_only,T1RD33.108,v8_full_test,4,19,0.71875,0.0
edge_ablation_cofailure_only,T1RD33.76,v8_full_test,5,26,0.7250000000000001,0.0
edge_ablation_cofailure_only,T1SD33.23,v8_full_test,4,116,0.5,0.0
edge_ablation_cofailure_only,T1SH33.12,v8_full_test,15,115,0.7833333333333333,0.0
edge_ablation_cofailure_only,T1SH33.20,v8_full_test,13,91,0.5192307692307693,0.0
edge_ablation_cofailure_only,T1SJ33.75,v8_full_test,89,6,0.6872659176029962,0.0
edge_ablation_cofailure_only,T1SJ33.78,v8_full_test,8,16,0.875,0.0
edge_ablation_cofailure_only,T1SL33.6,v8_full_test,123,103,0.825609756097561,0.0
edge_ablation_cofailure_only,T1TB33.17,v8_full_test,7,124,0.9285714285714286,0.0
edge_ablation_cofailure_only,T1TGN33.23,v8_full_test,15,46,0.7500000000000001,0.0
edge_ablation_cofailure_only,T1TGN33.4,v8_full_test,7,66,0.6904761904761905,0.0
edge_ablation_cofailure_only,T1TGN33.5,v8_full_test,13,280,0.826923076923077,0.0
edge_ablation_cofailure_only,T1TGN33.51,v8_full_test,18,30,0.6458333333333333,0.0
edge_ablation_cofailure_only,T1TGN33.6,v8_full_test,4,93,0.875,0.0
edge_ablation_cofailure_only,T1TGN33.60-11,v8_full_test,18,8,0.7112068965517241,0.0
edge_ablation_cofailure_only,T1TGN33.60-12,v8_full_test,16,13,0.6796875,0.0
edge_ablation_cofailure_only,T1TGN33.60-14,v8_full_test,6,10,0.9166666666666666,0.0
edge_ablation_cofailure_only,T1TGN33.60-15,v8_full_test,5,6,0.75,0.0
edge_ablation_cofailure_only,T1TGN33.60-5,v8_full_test,1,7,1.0,0.0
edge_ablation_cofailure_only,T1TGN33.7,v8_full_test,10,74,0.9500000000000001,0.0
edge_ablation_cofailure_only,T1TH33.11,v8_full_test,10,29,0.050000000000000024,0.0
edge_ablation_cofailure_only,T1TH33.28,v8_full_test,1,56,1.0,0.0
edge_ablation_cofailure_only,T1TH33.30,v8_full_test,1,61,1.0,0.0
edge_ablation_cofailure_only,T1TH33.5,v8_full_test,22,77,0.9318181818181818,0.0
edge_ablation_cofailure_only,T1TH33.8,v8_full_test,86,121,0.7936046511627907,0.0
edge_ablation_cofailure_only,T1TO33.33-2,v8_full_test,39,10,0.78125,0.0
edge_ablation_cofailure_only,T1TO33.9,v8_full_test,18,45,0.6574074074074074,0.0
edge_ablation_cofailure_only,T1TPJ33.1-36,v8_full_test,1,2,1.0,0.0
edge_ablation_cofailure_only,T1TPN33.25,v8_full_test,86,28,0.936046511627907,0.0
edge_ablation_cofailure_only,T1TPN33.26,v8_full_test,44,51,0.8636363636363636,0.0
edge_ablation_cofailure_only,T1TR33.37,v8_full_test,7,49,0.8392857142857143,0.0
edge_ablation_cofailure_only,T1TR33.4-15-2,v8_full_test,3,48,0.7500000000000001,0.0
edge_ablation_cofailure_only,T1TR33.43-18,v8_full_test,21,66,0.8035714285714285,0.0
edge_ablation_cofailure_only,T1TR33.43-19,v8_full_test,6,32,0.8333333333333333,0.0
edge_ablation_cofailure_only,T1TZ33.3-6,v8_full_test,35,4,0.9571428571428571,0.0
edge_ablation_cofailure_only,T2TV33.45-7,v8_full_test,32,29,0.9142857142857143,0.0
edge_ablation_cofailure_only,TSA33.188,v8_full_test,8,101,0.65625,0.0
edge_ablation_cofailure_only,TSA33.189,v8_full_test,9,42,0.6944444444444445,0.0
edge_ablation_cofailure_only,TSA33.192,v8_full_test,4,17,0.875,0.0
edge_ablation_cofailure_only,TSD33.168,v8_full_test,1,18,1.0,0.0
