method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
edge_ablation_cofailure_only_FULL_testcsv,S2SD32.21-85-3-2-1,full_test_csv_277_builds_HYBRID,9,63,0.9444444444444444,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3RO32.16,full_test_csv_277_builds_HYBRID,15,37,0.7055555555555556,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3RW32.138-29-5,full_test_csv_277_builds_HYBRID,107,240,0.8044258373205742,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3RYA32.16,full_test_csv_277_builds_HYBRID,10,40,0.5875,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3RYA32.35,full_test_csv_277_builds_HYBRID,5,181,0.525,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3RYA32.49-7,full_test_csv_277_builds_HYBRID,12,6,0.4791666666666667,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3RYA32.49-8,full_test_csv_277_builds_HYBRID,12,7,0.8333333333333334,0.0
edge_ablation_cofailure_only_FULL_testcsv,S3SG32.39-90-1,full_test_csv_277_builds_HYBRID,31,136,0.640625,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RD33.116-13,full_test_csv_277_builds_HYBRID,37,4,0.8395270270270271,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RD33.116-15,full_test_csv_277_builds_HYBRID,11,9,0.7045454545454546,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RG33.135-109-1,full_test_csv_277_builds_HYBRID,25,6,0.74,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RG33.135-56,full_test_csv_277_builds_HYBRID,18,12,0.8875,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RG33.135-89,full_test_csv_277_builds_HYBRID,9,2,0.8863636363636364,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RM33.1-110-4,full_test_csv_277_builds_HYBRID,19,63,0.8289473684210527,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RM33.1-54,full_test_csv_277_builds_HYBRID,25,100,0.9807692307692307,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RM33.1-89,full_test_csv_277_builds_HYBRID,25,2,0.9807692307692307,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1RM33.1-92,full_test_csv_277_builds_HYBRID,7,2,0.75,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SJC33.51-6,full_test_csv_277_builds_HYBRID,8,6,0.6875,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SQ33.15-11-77,full_test_csv_277_builds_HYBRID,26,5,0.9568965517241379,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SQ33.15-11-80,full_test_csv_277_builds_HYBRID,10,8,0.775,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SQ33.15-11-85,full_test_csv_277_builds_HYBRID,46,5,0.7418478260869565,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SSM33.1-100,full_test_csv_277_builds_HYBRID,2,2,0.75,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SSM33.1-49,full_test_csv_277_builds_HYBRID,7,10,0.9285714285714286,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1SU33.1-124-4,full_test_csv_277_builds_HYBRID,25,8,0.64,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1TGN33.60-23,full_test_csv_277_builds_HYBRID,1,4,1.0,0.0
edge_ablation_cofailure_only_FULL_testcsv,T1TH33.75-12-6,full_test_csv_277_builds_HYBRID,9,20,0.9444444444444444,0.0
