method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
edge_ablation_wo_cosuccess,S2RK32.92-52,v8_full_test,49,8,0.9795918367346939,0.0
edge_ablation_wo_cosuccess,S3RV32.127,v8_full_test,2,4,0.5,0.0
edge_ablation_wo_cosuccess,S3SL32.16-72-8,v8_full_test,5,10,0.55,0.0
edge_ablation_wo_cosuccess,T1RD33.108,v8_full_test,4,19,0.6875,0.0
edge_ablation_wo_cosuccess,T1RD33.76,v8_full_test,5,26,0.675,0.0
edge_ablation_wo_cosuccess,T1SD33.23,v8_full_test,4,116,0.5,0.0
edge_ablation_wo_cosuccess,T1SH33.12,v8_full_test,15,115,0.8166666666666668,0.0
edge_ablation_wo_cosuccess,T1SH33.20,v8_full_test,13,91,0.4038461538461538,0.0
edge_ablation_wo_cosuccess,T1SJ33.75,v8_full_test,89,6,0.7050561797752809,0.0
edge_ablation_wo_cosuccess,T1SJ33.78,v8_full_test,8,16,0.8125,0.0
edge_ablation_wo_cosuccess,T1SL33.6,v8_full_test,123,103,0.7585365853658537,0.0
edge_ablation_wo_cosuccess,T1TB33.17,v8_full_test,7,124,0.9285714285714286,0.0
edge_ablation_wo_cosuccess,T1TGN33.23,v8_full_test,15,46,0.7416666666666667,0.0
edge_ablation_wo_cosuccess,T1TGN33.4,v8_full_test,7,66,0.6666666666666666,0.0
edge_ablation_wo_cosuccess,T1TGN33.5,v8_full_test,13,280,0.8141025641025642,0.0
edge_ablation_wo_cosuccess,T1TGN33.51,v8_full_test,18,30,0.6319444444444444,0.0
edge_ablation_wo_cosuccess,T1TGN33.6,v8_full_test,4,93,0.875,0.0
edge_ablation_wo_cosuccess,T1TGN33.60-11,v8_full_test,18,8,0.7974137931034482,0.0
edge_ablation_wo_cosuccess,T1TGN33.60-12,v8_full_test,16,13,0.66015625,0.0
edge_ablation_wo_cosuccess,T1TGN33.60-14,v8_full_test,6,10,0.9166666666666666,0.0
edge_ablation_wo_cosuccess,T1TGN33.60-15,v8_full_test,5,6,0.5750000000000001,0.0
edge_ablation_wo_cosuccess,T1TGN33.60-5,v8_full_test,1,7,1.0,0.0
edge_ablation_wo_cosuccess,T1TGN33.7,v8_full_test,10,74,0.9,0.0
edge_ablation_wo_cosuccess,T1TH33.11,v8_full_test,10,29,0.050000000000000024,0.0
edge_ablation_wo_cosuccess,T1TH33.28,v8_full_test,1,56,1.0,0.0
edge_ablation_wo_cosuccess,T1TH33.30,v8_full_test,1,61,1.0,0.0
edge_ablation_wo_cosuccess,T1TH33.5,v8_full_test,22,77,0.875,0.0
edge_ablation_wo_cosuccess,T1TH33.8,v8_full_test,86,121,0.7427325581395349,0.0
edge_ablation_wo_cosuccess,T1TO33.33-2,v8_full_test,39,10,0.79375,0.0
edge_ablation_wo_cosuccess,T1TO33.9,v8_full_test,18,45,0.6388888888888888,0.0
edge_ablation_wo_cosuccess,T1TPJ33.1-36,v8_full_test,1,2,1.0,0.0
edge_ablation_wo_cosuccess,T1TPN33.25,v8_full_test,86,28,0.8284883720930233,0.0
edge_ablation_wo_cosuccess,T1TPN33.26,v8_full_test,44,51,0.8750000000000001,0.0
edge_ablation_wo_cosuccess,T1TR33.37,v8_full_test,7,49,0.7857142857142857,0.0
edge_ablation_wo_cosuccess,T1TR33.4-15-2,v8_full_test,3,48,0.8333333333333334,0.0
edge_ablation_wo_cosuccess,T1TR33.43-18,v8_full_test,21,66,0.7440476190476191,0.0
edge_ablation_wo_cosuccess,T1TR33.43-19,v8_full_test,6,32,0.8333333333333333,0.0
edge_ablation_wo_cosuccess,T1TZ33.3-6,v8_full_test,35,4,0.8285714285714285,0.0
edge_ablation_wo_cosuccess,T2TV33.45-7,v8_full_test,32,29,0.8857142857142857,0.0
edge_ablation_wo_cosuccess,TSA33.188,v8_full_test,8,101,0.640625,0.0
edge_ablation_wo_cosuccess,TSA33.189,v8_full_test,9,42,0.7222222222222222,0.0
edge_ablation_wo_cosuccess,TSA33.192,v8_full_test,4,17,0.875,0.0
edge_ablation_wo_cosuccess,TSD33.168,v8_full_test,1,18,1.0,0.0
edge_ablation_wo_cosuccess,TSD33.191,v8_full_test,1,42,1.0,0.0
edge_ablation_wo_cosuccess,TSD33.192,v8_full_test,9,44,0.8055555555555556,0.0
edge_ablation_wo_cosuccess,TSD33.193,v8_full_test,9,8,0.7222222222222222,0.0
edge_ablation_wo_cosuccess,TSD33.90,v8_full_test,22,31,0.8636363636363636,0.0
edge_ablation_wo_cosuccess,TSH33.149,v8_full_test,59,154,0.9916666666666667,0.0
edge_ablation_wo_cosuccess,TSH33.167,v8_full_test,4,89,0.375,0.0
edge_ablation_wo_cosuccess,TSL33.66,v8_full_test,19,209,0.7039473684210527,0.0
edge_ablation_wo_cosuccess,TTGN33.5,v8_full_test,3,256,0.49999999999999994,0.0
edge_ablation_wo_cosuccess,TTL33.14,v8_full_test,17,71,0.4264705882352941,0.0
edge_ablation_wo_cosuccess,TTL33.15,v8_full_test,8,61,0.5,0.0
edge_ablation_wo_cosuccess,TTO33.63,v8_full_test,15,105,0.5833333333333334,0.0
edge_ablation_wo_cosuccess,TTO33.67,v8_full_test,5,176,0.49999999999999994,0.0
edge_ablation_wo_cosuccess,TTP33.41,v8_full_test,7,49,0.8125,0.0
edge_ablation_wo_cosuccess,TTP33.43,v8_full_test,3,32,0.49999999999999994,0.0
edge_ablation_wo_cosuccess,TTPC33.41,v8_full_test,4,49,0.5833333333333333,0.0
edge_ablation_wo_cosuccess,TTR33.121,v8_full_test,5,261,0.8125,0.0
edge_ablation_wo_cosuccess,TTZ33.18,v8_full_test,22,148,0.8977272727272727,0.0
edge_ablation_wo_cosuccess,TTZ33.31,v8_full_test,28,98,0.7276785714285714,0.0
edge_ablation_wo_cosuccess,TTZ33.33,v8_full_test,4,193,0.75,0.0
edge_ablation_wo_cosuccess,TTZ33.34,v8_full_test,29,155,0.8879310344827586,0.0
edge_ablation_wo_cosuccess,TTZ33.36,v8_full_test,7,88,0.4285714285714286,0.0
