method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
edge_ablation_wo_temporal,S2RK32.92-52,v8_full_test,49,8,0.8724489795918366,0.0
edge_ablation_wo_temporal,S3RV32.127,v8_full_test,2,4,0.5,0.0
edge_ablation_wo_temporal,S3SL32.16-72-8,v8_full_test,5,10,0.24999999999999994,0.0
edge_ablation_wo_temporal,T1RD33.108,v8_full_test,4,19,0.71875,0.0
edge_ablation_wo_temporal,T1RD33.76,v8_full_test,5,26,0.675,0.0
edge_ablation_wo_temporal,T1SD33.23,v8_full_test,4,116,0.25,0.0
edge_ablation_wo_temporal,T1SH33.12,v8_full_test,15,115,0.7833333333333333,0.0
edge_ablation_wo_temporal,T1SH33.20,v8_full_test,13,91,0.5192307692307693,0.0
edge_ablation_wo_temporal,T1SJ33.75,v8_full_test,89,6,0.5683520599250936,0.0
edge_ablation_wo_temporal,T1SJ33.78,v8_full_test,8,16,0.8125,0.0
edge_ablation_wo_temporal,T1SL33.6,v8_full_test,123,103,0.5536585365853659,0.0
edge_ablation_wo_temporal,T1TB33.17,v8_full_test,7,124,0.9285714285714286,0.0
edge_ablation_wo_temporal,T1TGN33.23,v8_full_test,15,46,0.6916666666666668,0.0
edge_ablation_wo_temporal,T1TGN33.4,v8_full_test,7,66,0.3928571428571428,0.0
edge_ablation_wo_temporal,T1TGN33.5,v8_full_test,13,280,0.7051282051282052,0.0
edge_ablation_wo_temporal,T1TGN33.51,v8_full_test,18,30,0.548611111111111,0.0
edge_ablation_wo_temporal,T1TGN33.6,v8_full_test,4,93,0.875,0.0
edge_ablation_wo_temporal,T1TGN33.60-11,v8_full_test,18,8,0.5431034482758621,0.0
edge_ablation_wo_temporal,T1TGN33.60-12,v8_full_test,16,13,0.41015625,0.0
edge_ablation_wo_temporal,T1TGN33.60-14,v8_full_test,6,10,0.5416666666666666,0.0
edge_ablation_wo_temporal,T1TGN33.60-15,v8_full_test,5,6,0.6000000000000001,0.0
edge_ablation_wo_temporal,T1TGN33.60-5,v8_full_test,1,7,1.0,0.0
edge_ablation_wo_temporal,T1TGN33.7,v8_full_test,10,74,0.675,0.0
edge_ablation_wo_temporal,T1TH33.11,v8_full_test,10,29,0.050000000000000024,0.0
edge_ablation_wo_temporal,T1TH33.28,v8_full_test,1,56,1.0,0.0
edge_ablation_wo_temporal,T1TH33.30,v8_full_test,1,61,1.0,0.0
edge_ablation_wo_temporal,T1TH33.5,v8_full_test,22,77,0.8295454545454545,0.0
edge_ablation_wo_temporal,T1TH33.8,v8_full_test,86,121,0.5893895348837209,0.0
edge_ablation_wo_temporal,T1TO33.33-2,v8_full_test,39,10,0.7875,0.0
edge_ablation_wo_temporal,T1TO33.9,v8_full_test,18,45,0.6574074074074074,0.0
edge_ablation_wo_temporal,T1TPJ33.1-36,v8_full_test,1,2,1.0,0.0
edge_ablation_wo_temporal,T1TPN33.25,v8_full_test,86,28,0.6705426356589148,0.0
edge_ablation_wo_temporal,T1TPN33.26,v8_full_test,44,51,0.7272727272727274,0.0
edge_ablation_wo_temporal,T1TR33.37,v8_full_test,7,49,0.5535714285714285,0.0
edge_ablation_wo_temporal,T1TR33.4-15-2,v8_full_test,3,48,0.8333333333333334,0.0
edge_ablation_wo_temporal,T1TR33.43-18,v8_full_test,21,66,0.7083333333333333,0.0
edge_ablation_wo_temporal,T1TR33.43-19,v8_full_test,6,32,0.7499999999999999,0.0
edge_ablation_wo_temporal,T1TZ33.3-6,v8_full_test,35,4,0.05714285714285719,0.0
edge_ablation_wo_temporal,T2TV33.45-7,v8_full_test,32,29,0.8535714285714285,0.0
edge_ablation_wo_temporal,TSA33.188,v8_full_test,8,101,0.609375,0.0
edge_ablation_wo_temporal,TSA33.189,v8_full_test,9,42,0.33333333333333337,0.0
edge_ablation_wo_temporal,TSA33.192,v8_full_test,4,17,0.875,0.0
edge_ablation_wo_temporal,TSD33.168,v8_full_test,1,18,1.0,0.0
edge_ablation_wo_temporal,TSD33.191,v8_full_test,1,42,1.0,0.0
edge_ablation_wo_temporal,TSD33.192,v8_full_test,9,44,0.7777777777777778,0.0
edge_ablation_wo_temporal,TSD33.193,v8_full_test,9,8,0.33333333333333337,0.0
edge_ablation_wo_temporal,TSD33.90,v8_full_test,22,31,0.5909090909090909,0.0
edge_ablation_wo_temporal,TSH33.149,v8_full_test,59,154,0.48749999999999993,0.0
edge_ablation_wo_temporal,TSH33.167,v8_full_test,4,89,0.375,0.0
edge_ablation_wo_temporal,TSL33.66,v8_full_test,19,209,0.24999999999999994,0.0
edge_ablation_wo_temporal,TTGN33.5,v8_full_test,3,256,0.16666666666666669,0.0
edge_ablation_wo_temporal,TTL33.14,v8_full_test,17,71,0.3823529411764706,0.0
edge_ablation_wo_temporal,TTL33.15,v8_full_test,8,61,0.375,0.0
edge_ablation_wo_temporal,TTO33.63,v8_full_test,15,105,0.16666666666666669,0.0
edge_ablation_wo_temporal,TTO33.67,v8_full_test,5,176,0.45,0.0
edge_ablation_wo_temporal,TTP33.41,v8_full_test,7,49,0.6875,0.0
edge_ablation_wo_temporal,TTP33.43,v8_full_test,3,32,0.4583333333333333,0.0
edge_ablation_wo_temporal,TTPC33.41,v8_full_test,4,49,0.625,0.0
edge_ablation_wo_temporal,TTR33.121,v8_full_test,5,261,0.8125,0.0
edge_ablation_wo_temporal,TTZ33.18,v8_full_test,22,148,0.625,0.0
edge_ablation_wo_temporal,TTZ33.31,v8_full_test,28,98,0.42857142857142855,0.0
edge_ablation_wo_temporal,TTZ33.33,v8_full_test,4,193,0.4375,0.0
edge_ablation_wo_temporal,TTZ33.34,v8_full_test,29,155,0.7068965517241379,0.0
edge_ablation_wo_temporal,TTZ33.36,v8_full_test,7,88,0.5,0.0
edge_ablation_wo_temporal,TTZ33.49,v8_full_test,8,51,0.45833333333333337,0.0
edge_ablation_wo_temporal,TTZ33.76,v8_full_test,1,88,1.0,0.0
