method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_industry_optimized_v3,S2RK32.92-52,v8_full_test,49,8,0.9030612244897959,0.0
experiment_industry_optimized_v3,S3RV32.127,v8_full_test,2,4,0.5,0.0
experiment_industry_optimized_v3,S3SL32.16-72-8,v8_full_test,5,10,0.39999999999999997,0.0
experiment_industry_optimized_v3,T1RD33.108,v8_full_test,4,19,0.5625,0.0
experiment_industry_optimized_v3,T1RD33.76,v8_full_test,5,26,0.65,0.0
experiment_industry_optimized_v3,T1SD33.23,v8_full_test,4,116,0.3125,0.0
experiment_industry_optimized_v3,T1SH33.12,v8_full_test,15,115,0.8500000000000001,0.0
experiment_industry_optimized_v3,T1SH33.20,v8_full_test,13,91,0.44230769230769235,0.0
experiment_industry_optimized_v3,T1SJ33.75,v8_full_test,89,6,0.5739700374531834,0.0
experiment_industry_optimized_v3,T1SJ33.78,v8_full_test,8,16,0.78125,0.0
experiment_industry_optimized_v3,T1SL33.6,v8_full_test,123,103,0.6536585365853659,0.0
experiment_industry_optimized_v3,T1TB33.17,v8_full_test,7,124,0.9285714285714286,0.0
experiment_industry_optimized_v3,T1TGN33.23,v8_full_test,15,46,0.6416666666666667,0.0
experiment_industry_optimized_v3,T1TGN33.4,v8_full_test,7,66,0.5952380952380952,0.0
experiment_industry_optimized_v3,T1TGN33.5,v8_full_test,13,280,0.7564102564102565,0.0
experiment_industry_optimized_v3,T1TGN33.51,v8_full_test,18,30,0.5208333333333333,0.0
experiment_industry_optimized_v3,T1TGN33.6,v8_full_test,4,93,0.875,0.0
experiment_industry_optimized_v3,T1TGN33.60-11,v8_full_test,18,8,0.5474137931034482,0.0
experiment_industry_optimized_v3,T1TGN33.60-12,v8_full_test,16,13,0.435546875,0.0
experiment_industry_optimized_v3,T1TGN33.60-14,v8_full_test,6,10,0.9166666666666666,0.0
experiment_industry_optimized_v3,T1TGN33.60-15,v8_full_test,5,6,0.6000000000000001,0.0
experiment_industry_optimized_v3,T1TGN33.60-5,v8_full_test,1,7,1.0,0.0
experiment_industry_optimized_v3,T1TGN33.7,v8_full_test,10,74,0.75,0.0
experiment_industry_optimized_v3,T1TH33.11,v8_full_test,10,29,0.050000000000000024,0.0
experiment_industry_optimized_v3,T1TH33.28,v8_full_test,1,56,1.0,0.0
experiment_industry_optimized_v3,T1TH33.30,v8_full_test,1,61,1.0,0.0
experiment_industry_optimized_v3,T1TH33.5,v8_full_test,22,77,0.8636363636363636,0.0
experiment_industry_optimized_v3,T1TH33.8,v8_full_test,86,121,0.7042151162790697,0.0
experiment_industry_optimized_v3,T1TO33.33-2,v8_full_test,39,10,0.7125,0.0
experiment_industry_optimized_v3,T1TO33.9,v8_full_test,18,45,0.5324074074074074,0.0
experiment_industry_optimized_v3,T1TPJ33.1-36,v8_full_test,1,2,1.0,0.0
experiment_industry_optimized_v3,T1TPN33.25,v8_full_test,86,28,0.7897286821705427,0.0
experiment_industry_optimized_v3,T1TPN33.26,v8_full_test,44,51,0.8465909090909092,0.0
experiment_industry_optimized_v3,T1TR33.37,v8_full_test,7,49,0.6428571428571429,0.0
experiment_industry_optimized_v3,T1TR33.4-15-2,v8_full_test,3,48,0.8333333333333334,0.0
experiment_industry_optimized_v3,T1TR33.43-18,v8_full_test,21,66,0.7083333333333333,0.0
experiment_industry_optimized_v3,T1TR33.43-19,v8_full_test,6,32,0.9166666666666666,0.0
experiment_industry_optimized_v3,T1TZ33.3-6,v8_full_test,35,4,0.7357142857142858,0.0
experiment_industry_optimized_v3,T2TV33.45-7,v8_full_test,32,29,0.8785714285714286,0.0
experiment_industry_optimized_v3,TSA33.188,v8_full_test,8,101,0.5625,0.0
experiment_industry_optimized_v3,TSA33.189,v8_full_test,9,42,0.8333333333333334,0.0
experiment_industry_optimized_v3,TSA33.192,v8_full_test,4,17,0.875,0.0
experiment_industry_optimized_v3,TSD33.168,v8_full_test,1,18,1.0,0.0
experiment_industry_optimized_v3,TSD33.191,v8_full_test,1,42,1.0,0.0
