project,n_builds_total,n_builds_with_failures,mean_apfd,std_apfd,median_apfd
CloudifySource@cloudify,5206,96,0.87306291810738,0.2014329519689415,0.9666666666666667
DSpace@DSpace,3338,51,0.7026816644087737,0.17422653660485374,0.6982758620689655
Graylog2@graylog2-server,10622,51,0.7707960296113944,0.15428667698187176,0.7616279069767442
SonarSource@sonarqube,53307,636,0.6934117734653971,0.282812644188081,0.7446305335507921
adamfisk@LittleProxy,581,17,0.7807445534261213,0.15040459820142815,0.7857142857142857
apache@sling,8552,982,0.942676455623185,0.10091061148372989,0.9837082912032357
brettwooldridge@HikariCP,1662,21,0.7520362395970535,0.18791184618434223,0.8157894736842105
deeplearning4j@deeplearning4j,1038,117,0.8428232881542129,0.13454798459617429,0.8916666666666667
doanduyhai@Achilles,997,13,0.7738573888717948,0.15871354536051954,0.7849162011173185
dynjs@dynjs,1020,11,0.8294203484298198,0.15478099784666802,0.8785714285714286
eclipse@jetty.project,383,61,0.9487251786136607,0.13037872943774992,0.9888888888888889
facebook@buck,1148,94,0.912504576049958,0.1684753124555428,0.9871260683760684
jOOQ@jOOQ,3245,127,0.9249745971564222,0.14864221105247424,0.9838709677419355
jcabi@jcabi-github,3241,93,0.8703982711146193,0.23640975653645752,0.9949748743718593
jsprit@jsprit,1089,10,0.8958699279793908,0.18285255545591103,0.9662393162393162
julianhyde@optiq,1808,28,0.8987328753852066,0.11752542136348962,0.9843611357586513
l0rdn1kk0n@wicket-bootstrap,1110,87,0.6055920494049185,0.10115123161011402,0.6463414634146342
neuland@jade4j,932,27,0.7141198202985862,0.11296081896043521,0.7195121951219512
square@okhttp,9772,354,0.8680454621426444,0.1657085978031418,0.93256237006237
thinkaurelius@titan,1075,61,0.8350288641540029,0.15404826110826603,0.907051282051282
