project,n_builds_total,n_builds_with_failures,mean_apfd,std_apfd,median_apfd,alpha_model
CloudifySource@cloudify,5206,96,0.9041792615798373,0.14840624196636787,0.977891156462585,0.0
DSpace@DSpace,3338,51,0.6374642130686063,0.15277889151437252,0.6810344827586207,0.4
Graylog2@graylog2-server,10622,51,0.8899017185424741,0.10296491337038785,0.8895348837209303,0.0
SonarSource@sonarqube,53307,636,0.8712563571107915,0.18196419968028102,0.9790383778068048,0.0
adamfisk@LittleProxy,581,17,0.729658634484787,0.11114281937541734,0.7777777777777778,0.0
apache@sling,8552,982,0.9712906252467683,0.04741504653080455,0.9893617021276596,0.9
brettwooldridge@HikariCP,1662,21,0.6421944486296544,0.20063612775426862,0.6547619047619048,0.0
deeplearning4j@deeplearning4j,1038,117,0.8373171415425852,0.14505550418763602,0.8846153846153846,0.0
doanduyhai@Achilles,997,13,0.878719970197231,0.11671514224489571,0.9255808603634691,0.0
dynjs@dynjs,1020,11,0.7959849322999264,0.18024780516018005,0.9,0.0
eclipse@jetty.project,383,61,0.9697831505604685,0.06526784188649659,0.9888888888888889,0.9
facebook@buck,1148,94,0.9829860630796194,0.023403346710380173,0.9879807692307693,0.9
jOOQ@jOOQ,3245,127,0.9388452848803094,0.09015215966719509,0.9838709677419355,0.0
jcabi@jcabi-github,3241,93,0.9107892910598878,0.17605379465399784,0.9949748743718593,0.7
jsprit@jsprit,1089,10,0.8195102658970166,0.3100763403959971,0.9643874643874644,0.0
julianhyde@optiq,1808,28,0.9236882457601656,0.08953798390104722,0.9711431742508324,0.0
l0rdn1kk0n@wicket-bootstrap,1110,87,0.6111752906161715,0.08909072847088886,0.6463414634146342,0.5
neuland@jade4j,932,27,0.7080912706693175,0.13707007463668824,0.7195121951219512,0.0
square@okhttp,9772,354,0.8919996280208559,0.11925514009659981,0.9444444444444444,0.6
thinkaurelius@titan,1075,61,0.8527472423851157,0.13214435902616184,0.8958333333333334,0.0
