project,n_builds_total,n_builds_with_failures,mean_apfd,std_apfd,median_apfd
CloudifySource@cloudify,5206,96,0.7481450688175482,0.2457044635492812,0.8405026210299106
DSpace@DSpace,3338,51,0.6520558360336814,0.14338196842308845,0.6557894736842105
Graylog2@graylog2-server,10622,51,0.883659975556249,0.14531509682441457,0.90625
SonarSource@sonarqube,53307,636,0.8149808470439107,0.24893135937491562,0.9714495637357485
adamfisk@LittleProxy,581,17,0.6878569464893273,0.10910936006146495,0.6785714285714285
apache@sling,8552,982,0.9540286426117692,0.08423668550392355,0.98
brettwooldridge@HikariCP,1662,21,0.6443610710141008,0.2042853599879892,0.625
deeplearning4j@deeplearning4j,1038,117,0.8049186375537817,0.15269565623751213,0.8214285714285714
doanduyhai@Achilles,997,13,0.7817271458950908,0.26524878235444327,0.9281113411548194
dynjs@dynjs,1020,11,0.7284900290200159,0.23567438757021264,0.6678520625889047
eclipse@jetty.project,383,61,0.970178910288237,0.050094466003250966,0.9933920704845816
facebook@buck,1148,94,0.9792495405483875,0.03824984503394832,0.9881570512820513
jOOQ@jOOQ,3245,127,0.9315539640521039,0.0925537397844001,0.9782608695652174
jcabi@jcabi-github,3241,93,0.8575995772088911,0.25035909962981623,0.9899497487437185
jsprit@jsprit,1089,10,0.9109482890431891,0.1588031940949007,0.982905982905983
julianhyde@optiq,1808,28,0.905778853273221,0.10380722437683702,0.9535501700680272
l0rdn1kk0n@wicket-bootstrap,1110,87,0.5985361462860929,0.10364415274695302,0.6337258200168209
neuland@jade4j,932,27,0.6765064054094821,0.1688463239657244,0.7012195121951219
square@okhttp,9772,354,0.8498818854165963,0.18531570071796036,0.9166666666666666
thinkaurelius@titan,1075,61,0.8002693739213057,0.17416616329420467,0.8333333333333333
