build_id,rank,test_id,label
S2SD32.21-85-3-2-1,1,MCA-3061404,0
S2SD32.21-85-3-2-1,2,MCA-3035564,0
S2SD32.21-85-3-2-1,3,MCA-3035562,0
S2SD32.21-85-3-2-1,4,MCA-2917592,1
S2SD32.21-85-3-2-1,5,MCA-3406581,0
S2SD32.21-85-3-2-1,6,MCA-26533,0
S2SD32.21-85-3-2-1,7,MCA-3035548,0
S2SD32.21-85-3-2-1,8,MCA-24842,0
S2SD32.21-85-3-2-1,9,MCA-3037331,0
S2SD32.21-85-3-2-1,10,MCA-3035591,0
S2SD32.21-85-3-2-1,11,MCA-3035563,0
S2SD32.21-85-3-2-1,12,MCA-799979,0
S2SD32.21-85-3-2-1,13,MCA-2601397,0
S2SD32.21-85-3-2-1,14,MCA-27311,0
S2SD32.21-85-3-2-1,15,MCA-739229,0
S3RO32.16,1,MCA-137011,1
S3RO32.16,2,MCA-24832,0
S3RO32.16,3,MCA-26533,0
S3RO32.16,4,MCA-739229,0
S3RO32.16,5,MCA-3037331,1
S3RO32.16,6,MCA-137523,0
S3RO32.16,7,MCA-2459261,0
S3RO32.16,8,MCA-24840,1
S3RO32.16,9,MCA-2669387,0
S3RO32.16,10,MCA-1177447,0
S3RO32.16,11,MCA-26540,0
S3RO32.16,12,MCA-137006,0
S3RO32.16,13,MCA-137010,0
S3RO32.16,14,MCA-2460339,0
S3RO32.16,15,MCA-1055736,0
S3RW32.138-29-5,1,MCA-2788747,0
S3RW32.138-29-5,2,MCA-2050313,0
S3RW32.138-29-5,3,MCA-2050317,0
S3RW32.138-29-5,4,MCA-137529,0
S3RW32.138-29-5,5,MCA-2440558,0
S3RW32.138-29-5,6,MCA-2050312,0
S3RW32.138-29-5,7,MCA-137523,0
S3RW32.138-29-5,8,MCA-1604045,0
S3RW32.138-29-5,9,MCA-704,0
S3RW32.138-29-5,10,MCA-2451464,0
S3RW32.138-29-5,11,MCA-2451462,0
S3RW32.138-29-5,12,MCA-2191124,0
S3RW32.138-29-5,13,MCA-1893339,0
