project,n_builds_total,n_builds_with_failures,mean_apfd,std_apfd,median_apfd
CloudifySource@cloudify,5206,96,0.7903200921150226,0.24409663535394974,0.9058277027027026
DSpace@DSpace,3338,51,0.4065278414946305,0.20798603278311,0.398768472906404
Graylog2@graylog2-server,10622,51,0.43120708995915746,0.3385994040673891,0.2674418604651163
SonarSource@sonarqube,53307,636,0.7679746098198861,0.26317834114976113,0.8566890166028096
adamfisk@LittleProxy,581,17,0.5741600206742337,0.22343936191376185,0.5555555555555556
apache@sling,8552,982,0.8384746011453786,0.24713943351375212,0.9525704757110496
brettwooldridge@HikariCP,1662,21,0.5685463051617408,0.25372021155410857,0.5112044817927172
deeplearning4j@deeplearning4j,1038,117,0.7479865268109981,0.22749988179620456,0.8055555555555556
doanduyhai@Achilles,997,13,0.7040025364591737,0.24431146128701642,0.755892255892256
dynjs@dynjs,1020,11,0.4948166005114205,0.3028446268788679,0.5903271692745378
eclipse@jetty.project,383,61,0.9103449368061203,0.16978932757362158,0.9761904761904762
facebook@buck,1148,94,0.7437431997024081,0.3697032402371104,0.9913249211356466
jOOQ@jOOQ,3245,127,0.7755143791179302,0.2878661386412657,0.8636363636363636
jcabi@jcabi-github,3241,93,0.651328525532689,0.32897516870515187,0.6610738255033557
jsprit@jsprit,1089,10,0.6215356415127775,0.3936090110382438,0.7416809116809117
julianhyde@optiq,1808,28,0.8320502830340766,0.20271983973072188,0.9096200980392156
l0rdn1kk0n@wicket-bootstrap,1110,87,0.6056297924804278,0.11991057031976249,0.6463414634146342
neuland@jade4j,932,27,0.5901067428392127,0.24446612943199122,0.5589285714285714
square@okhttp,9772,354,0.7909303868880684,0.23859894975090298,0.875
thinkaurelius@titan,1075,61,0.7370703708878193,0.21691221952415157,0.7962962962962963
