variant,project,mean_apfd,std_apfd,median_apfd,n_builds_with_failures,alpha,train_time,eval_time
full_v14,CloudifySource@cloudify,0.9041792615798373,0.14840624196636787,0.977891156462585,96,0.0,1.003598690032959,2.132420778274536
wo_gatv2,CloudifySource@cloudify,0.9041792615798373,0.14840624196636787,0.977891156462585,96,0.0,0.0,2.0799999237060547
wo_dnn_ensemble,CloudifySource@cloudify,0.4850002867045617,0.2516129076769586,0.46785714285714286,96,1.0,0.45017576217651367,7.377486705780029
wo_semantic,CloudifySource@cloudify,0.9041792615798373,0.14840624196636787,0.977891156462585,96,0.0,0.537036657333374,2.082484245300293
wo_graph,CloudifySource@cloudify,0.9041792615798373,0.14840624196636787,0.977891156462585,96,0.0,0.5260791778564453,2.1685826778411865
wo_deeporder_feats,CloudifySource@cloudify,0.9041792615798373,0.14840624196636787,0.977891156462585,96,0.6,0.2820429801940918,6.458074331283569
full_v14,DSpace@DSpace,0.653013923038633,0.14430008257112328,0.6982758620689655,51,0.9,0.32686495780944824,5.027921676635742
wo_gatv2,DSpace@DSpace,0.6528843163875269,0.1443948050210579,0.6982758620689655,51,0.0,0.0,1.3876025676727295
wo_dnn_ensemble,DSpace@DSpace,0.6309872812524029,0.11762754259355868,0.6460591133004926,51,1.0,0.4631991386413574,4.747852087020874
wo_semantic,DSpace@DSpace,0.6528843163875269,0.1443948050210579,0.6982758620689655,51,0.0,0.29158711433410645,1.384474515914917
wo_graph,DSpace@DSpace,0.6530597025039976,0.14464320247762355,0.6982758620689655,51,0.9,0.44620633125305176,5.011318683624268
wo_deeporder_feats,DSpace@DSpace,0.6528843163875269,0.1443948050210579,0.6982758620689655,51,0.0,0.3320295810699463,1.3690173625946045
full_v14,Graylog2@graylog2-server,0.8984428931784216,0.10384180747038173,0.9021739130434783,51,0.0,0.5567421913146973,3.9918997287750244
wo_gatv2,Graylog2@graylog2-server,0.8984428931784216,0.10384180747038173,0.9021739130434783,51,0.0,0.0,3.826406240463257
wo_dnn_ensemble,Graylog2@graylog2-server,0.8847186498372198,0.09429511426691141,0.8793103448275862,51,1.0,0.3656454086303711,6.285799026489258
wo_semantic,Graylog2@graylog2-server,0.8984428931784216,0.10384180747038173,0.9021739130434783,51,0.0,0.8165755271911621,3.8437118530273438
wo_graph,Graylog2@graylog2-server,0.9019988395538245,0.08522554156994191,0.9021739130434783,51,0.9,0.5998339653015137,6.6914756298065186
wo_deeporder_feats,Graylog2@graylog2-server,0.8984428931784216,0.10384180747038173,0.9021739130434783,51,0.0,0.4064908027648926,3.8091094493865967
full_v14,SonarSource@sonarqube,0.8696094453781964,0.18435571163023468,0.9773131654381655,636,0.0,1.1225545406341553,42.743388414382935
wo_gatv2,SonarSource@sonarqube,0.8696094453781964,0.18435571163023468,0.9773131654381655,636,0.0,0.0,38.750200510025024
wo_dnn_ensemble,SonarSource@sonarqube,0.7486427021546948,0.2736361324536633,0.8672413793103448,636,1.0,0.7228000164031982,468.1389887332916
wo_semantic,SonarSource@sonarqube,0.8698594751823902,0.18442148987743734,0.9781868213521439,636,0.6,1.0810270309448242,477.8991229534149
wo_graph,SonarSource@sonarqube,0.8696094453781964,0.18435571163023468,0.9773131654381655,636,0.0,0.5887303352355957,38.846678256988525
wo_deeporder_feats,SonarSource@sonarqube,0.8683186215291262,0.18750769467418804,0.9773131654381655,636,0.6,0.854710578918457,240.45577716827393
full_v14,adamfisk@LittleProxy,0.6915388331873618,0.12772871084404067,0.6666666666666667,17,0.0,0.4485926628112793,0.2172400951385498
wo_gatv2,adamfisk@LittleProxy,0.6915388331873618,0.12772871084404067,0.6666666666666667,17,0.0,0.0,0.2152719497680664
wo_dnn_ensemble,adamfisk@LittleProxy,0.7026416023574374,0.10397660244292242,0.7006172839506173,17,1.0,0.6429767608642578,0.5956394672393799
wo_semantic,adamfisk@LittleProxy,0.6915388331873618,0.12772871084404067,0.6666666666666667,17,0.0,0.7168059349060059,0.21353363990783691
wo_graph,adamfisk@LittleProxy,0.6915388331873618,0.12772871084404067,0.6666666666666667,17,0.0,0.4560384750366211,0.21516966819763184
wo_deeporder_feats,adamfisk@LittleProxy,0.69448000965795,0.12615295539045956,0.6666666666666667,17,0.8,0.28313446044921875,0.619178295135498
full_v14,apache@sling,0.9711526803020847,0.04686749705808191,0.9889624186191571,982,0.9,0.31710171699523926,241.34017086029053
wo_gatv2,apache@sling,0.9711435629703615,0.046892907671443274,0.9889624186191571,982,0.0,0.0,9.406996726989746
wo_dnn_ensemble,apache@sling,0.8603608392313569,0.12956857646664888,0.8990563530037213,982,1.0,0.5112717151641846,233.2832531929016
wo_semantic,apache@sling,0.9711435629703615,0.046892907671443274,0.9889624186191571,982,0.0,3.227492570877075,6.735029697418213
wo_graph,apache@sling,0.9711435629703615,0.046892907671443274,0.9889624186191571,982,0.0,0.31663036346435547,6.847427845001221
wo_deeporder_feats,apache@sling,0.9711435629703615,0.046892907671443274,0.9889624186191571,982,0.0,0.4038968086242676,6.790886640548706
full_v14,brettwooldridge@HikariCP,0.6726032788284005,0.19719653742495974,0.65,21,0.0,0.0,0.5185444355010986
wo_gatv2,brettwooldridge@HikariCP,0.6726032788284005,0.19719653742495974,0.65,21,0.0,0.0,0.5128536224365234
wo_dnn_ensemble,brettwooldridge@HikariCP,0.5817364462654158,0.21519210249296838,0.5700280112044819,21,1.0,0.0,0.4772155284881592
wo_semantic,brettwooldridge@HikariCP,0.6726032788284005,0.19719653742495974,0.65,21,0.0,0.0,0.5161840915679932
wo_graph,brettwooldridge@HikariCP,0.6726032788284005,0.19719653742495974,0.65,21,0.0,0.0,0.5326852798461914
wo_deeporder_feats,brettwooldridge@HikariCP,0.6726032788284005,0.19719653742495974,0.65,21,0.0,0.0,0.5259370803833008
full_v14,deeplearning4j@deeplearning4j,0.8407085756714364,0.1407380602993922,0.8846153846153846,117,0.8,0.48061132431030273,3.417994976043701
wo_gatv2,deeplearning4j@deeplearning4j,0.8389348508207887,0.14019009000005547,0.8846153846153846,117,0.0,0.0,0.566497802734375
wo_dnn_ensemble,deeplearning4j@deeplearning4j,0.8160527494650326,0.17176809334240736,0.8571428571428571,117,1.0,0.4236586093902588,3.245163917541504
wo_semantic,deeplearning4j@deeplearning4j,0.840664744858375,0.14078585974894492,0.8846153846153846,117,0.8,0.4016540050506592,3.2798213958740234
wo_graph,deeplearning4j@deeplearning4j,0.8389348508207887,0.14019009000005547,0.8846153846153846,117,0.0,0.3517301082611084,0.5053417682647705
wo_deeporder_feats,deeplearning4j@deeplearning4j,0.841477180286195,0.14101017389885295,0.8846153846153846,117,0.9,0.7286031246185303,3.3349175453186035
full_v14,doanduyhai@Achilles,0.868328368004887,0.1302107202005518,0.9241071428571428,13,0.0,0.3344416618347168,0.496929407119751
wo_gatv2,doanduyhai@Achilles,0.868328368004887,0.1302107202005518,0.9241071428571428,13,0.0,0.0,0.4669373035430908
wo_dnn_ensemble,doanduyhai@Achilles,0.824779292814028,0.148998629494841,0.9166666666666666,13,1.0,3.745049476623535,2.108611583709717
wo_semantic,doanduyhai@Achilles,0.868328368004887,0.1302107202005518,0.9241071428571428,13,0.0,0.3460109233856201,0.47278380393981934
wo_graph,doanduyhai@Achilles,0.868328368004887,0.1302107202005518,0.9241071428571428,13,0.0,0.40120387077331543,0.4679126739501953
