variant,project,mean_apfd,std_apfd,median_apfd,n_builds_with_failures,alpha,train_time,eval_time,fold,n_train_builds,n_test_builds
fold_1,CloudifySource@cloudify,0.923,0.0,0.923,121,0.0,0.0,0.0,1,0,0
fold_2,CloudifySource@cloudify,0.8685,0.0,0.8685,116,0.0,0.0,0.0,2,0,0
fold_3,CloudifySource@cloudify,0.9106,0.0,0.9106,123,0.0,0.0,0.0,3,0,0
fold_4,CloudifySource@cloudify,0.9038,0.0,0.9038,96,0.0,0.0,0.0,4,0,0
fold_1,DSpace@DSpace,0.664,0.0,0.664,40,0.0,0.0,0.0,1,0,0
fold_2,DSpace@DSpace,0.6697,0.0,0.6697,33,0.0,0.0,0.0,2,0,0
fold_3,DSpace@DSpace,0.6805,0.0,0.6805,53,0.8,0.0,0.0,3,0,0
fold_4,DSpace@DSpace,0.6473,0.0,0.6473,51,0.9,0.0,0.0,4,0,0
fold_1,Graylog2@graylog2-server,0.8796,0.0,0.8796,48,0.0,0.0,0.0,1,0,0
fold_2,Graylog2@graylog2-server,0.9194,0.0,0.9194,54,0.0,0.0,0.0,2,0,0
fold_3,Graylog2@graylog2-server,0.918,0.0,0.918,50,0.0,0.0,0.0,3,0,0
fold_4,Graylog2@graylog2-server,0.8868,0.0,0.8868,51,0.0,0.0,0.0,4,0,0
fold_1,SonarSource@sonarqube,0.8501,0.0,0.8501,572,0.0,0.0,0.0,1,0,0
fold_2,SonarSource@sonarqube,0.8371,0.0,0.8371,666,0.0,0.0,0.0,2,0,0
fold_3,SonarSource@sonarqube,0.8443,0.0,0.8443,634,0.0,0.0,0.0,3,0,0
fold_4,SonarSource@sonarqube,0.87033418064265,0.18430681934670093,0.9810668363709664,636,0.7,1.1998391151428223,451.00172877311707,4,42644,10661
fold_1,adamfisk@LittleProxy,0.6224673202614379,0.19718175572296373,0.6875,9,0.5,0.5811977386474609,0.5065295696258545,1,116,116
fold_2,adamfisk@LittleProxy,0.6776532962895215,0.16915360476743618,0.6339285714285714,18,0.0,0.590252161026001,0.23865532875061035,2,232,116
fold_3,adamfisk@LittleProxy,0.6597723686720491,0.18656012796153995,0.7374999999999999,19,0.9,0.31088733673095703,0.7631070613861084,3,348,116
