method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
TCP-Net,S2SD32.21-85-3-2-1,industry_dataset,15,0,0.9,0.0
TCP-Net,S3RO32.16,industry_dataset,15,0,0.5444444444444444,0.0
TCP-Net,S3RW32.138-29-5,industry_dataset,110,0,0.03181818181818177,0.0
TCP-Net,S3RYA32.16,industry_dataset,10,0,0.65,0.0
TCP-Net,S3RYA32.35,industry_dataset,5,0,0.4,0.0
TCP-Net,S3RYA32.49-7,industry_dataset,12,0,0.9583333333333333,0.0
TCP-Net,S3RYA32.49-8,industry_dataset,12,0,0.8333333333333333,0.0
TCP-Net,S3SG32.39-90-1,industry_dataset,40,0,0.3875,0.0
TCP-Net,T1RD33.116-13,industry_dataset,40,0,0.6437499999999999,0.0
TCP-Net,T1RD33.116-15,industry_dataset,12,0,0.2083333333333333,0.0
TCP-Net,T1RG33.135-109-1,industry_dataset,25,0,0.98,0.0
TCP-Net,T1RG33.135-56,industry_dataset,18,0,0.055555555555555566,0.0
TCP-Net,T1RG33.135-89,industry_dataset,12,0,0.6249999999999999,0.0
TCP-Net,T1RM33.1-110-4,industry_dataset,19,0,0.9736842105263158,0.0
TCP-Net,T1RM33.1-54,industry_dataset,27,0,0.9444444444444444,0.0
TCP-Net,T1RM33.1-89,industry_dataset,25,0,0.9,0.0
TCP-Net,T1RM33.1-92,industry_dataset,10,0,0.55,0.0
TCP-Net,T1SJC33.51-6,industry_dataset,8,0,0.8125,0.0
TCP-Net,T1SQ33.15-11-77,industry_dataset,26,0,0.9807692307692308,0.0
TCP-Net,T1SQ33.15-11-80,industry_dataset,10,0,0.35000000000000003,0.0
TCP-Net,T1SQ33.15-11-85,industry_dataset,47,0,0.425531914893617,0.0
TCP-Net,T1SSM33.1-100,industry_dataset,2,0,0.75,0.0
TCP-Net,T1SSM33.1-49,industry_dataset,7,0,0.9285714285714286,0.0
TCP-Net,T1SU33.1-124-4,industry_dataset,25,0,0.5,0.0
TCP-Net,T1TGN33.60-23,industry_dataset,1,0,1.0,0.0
TCP-Net,T1TH33.75-12-6,industry_dataset,10,0,0.65,0.0
TCP-Net,T1TH33.75-2,industry_dataset,42,0,0.4404761904761905,0.0
TCP-Net,T1TH33.75-3,industry_dataset,6,0,0.9166666666666667,0.0
TCP-Net,T1TR33.4-30-75,industry_dataset,15,0,0.5,0.0
TCP-Net,T1TR33.43-20-24,industry_dataset,4,0,0.375,0.0
TCP-Net,T1TR33.43-40,industry_dataset,50,0,0.8166666666666667,0.0
TCP-Net,T1TZ33.3-50,industry_dataset,16,0,0.03125,0.0
TCP-Net,T1TZ33.3-52,industry_dataset,23,0,0.572463768115942,0.0
TCP-Net,T1TZ33.3-60,industry_dataset,1,0,1.0,0.0
TCP-Net,T1TZ33.3-62-29,industry_dataset,16,0,0.5,0.0
TCP-Net,T2RK33.71,industry_dataset,20,0,0.42500000000000004,0.0
TCP-Net,T2SA33.9,industry_dataset,6,0,0.5833333333333334,0.0
TCP-Net,T2SD33.21,industry_dataset,9,0,0.7222222222222223,0.0
TCP-Net,T2SD33.26,industry_dataset,32,0,0.5572916666666667,0.0
TCP-Net,T2SD33.27,industry_dataset,41,0,0.9634146341463414,0.0
TCP-Net,T2SE33.73-8,industry_dataset,1,0,1.0,0.0
TCP-Net,T2SR33.35,industry_dataset,12,0,0.7916666666666666,0.0
TCP-Net,T2SR33.54,industry_dataset,6,0,0.7500000000000001,0.0
TCP-Net,T2ST33.105-15,industry_dataset,45,0,0.9222222222222222,0.0
TCP-Net,T2ST33.92,industry_dataset,28,0,0.48214285714285715,0.0
TCP-Net,T2SV33.40,industry_dataset,16,0,0.71875,0.0
TCP-Net,T2SV33.42,industry_dataset,12,0,0.6249999999999999,0.0
TCP-Net,T2TT33.60-3,industry_dataset,119,0,0.9390756302521008,0.0
TCP-Net,T2TT33.60-5,industry_dataset,9,0,0.9444444444444444,0.0
TCP-Net,T2TT33.60-7,industry_dataset,12,0,0.37500000000000006,0.0
TCP-Net,T2TV33.10,industry_dataset,73,0,0.5,0.0
