project,n_builds_total,n_builds_with_failures,mean_apfd,std_apfd,median_apfd
CloudifySource@cloudify,5206,96,0.9096307432841996,0.13402691659763696,0.9680272108843537
DSpace@DSpace,3338,51,0.6425163832719987,0.23469235355181933,0.6977832512315271
Graylog2@graylog2-server,10622,51,0.8585344722138452,0.1906338541513589,0.9137931034482759
SonarSource@sonarqube,53307,636,0.8371407915241714,0.23312668083338436,0.9729003277896384
adamfisk@LittleProxy,581,17,0.7301777935856331,0.15914006757447913,0.75
apache@sling,8552,982,0.9588504488796488,0.10809666767460407,0.9893045069778083
brettwooldridge@HikariCP,1662,21,0.6497214675343822,0.22856299286436693,0.6428571428571429
deeplearning4j@deeplearning4j,1038,117,0.8369072928468566,0.15547383601282272,0.8846153846153846
doanduyhai@Achilles,997,13,0.824159657275447,0.24604895203812321,0.9228855721393036
dynjs@dynjs,1020,11,0.6961091813085841,0.2764999130845177,0.7928571428571428
eclipse@jetty.project,383,61,0.9673254168302367,0.10322834438514149,0.9888888888888889
facebook@buck,1148,94,0.914935322420598,0.24758371417849476,0.9879517372723895
jOOQ@jOOQ,3245,127,0.9310511712001618,0.13322328260797503,0.9838709677419355
jcabi@jcabi-github,3241,93,0.8430641807404786,0.2719202175665992,0.9949748743718593
jsprit@jsprit,1089,10,0.9585792039860086,0.06280221711081217,0.9936303148328465
julianhyde@optiq,1808,28,0.9122118510006142,0.10881707068372808,0.9795918367346939
l0rdn1kk0n@wicket-bootstrap,1110,87,0.5992904999190302,0.1316691463965539,0.6463414634146342
neuland@jade4j,932,27,0.7284541127615692,0.13274481013168254,0.7195121951219512
square@okhttp,9772,354,0.8678668659688635,0.17631735678770608,0.9395121951219513
thinkaurelius@titan,1075,61,0.8394026742659577,0.16950510107226346,0.8997252747252746
